Year,Month,Region,Product_Line,Sales,Cost_of_Goods_Sold,Operating_Expenses,Marketing_Expenses,R&D_Expenses,Admin_Expenses,Other_Income,Interest_Expense,Tax_Rate
2024,Jan,North,Electronics,2450000,1470000,245000,98000,49000,98000,15000,32000,0.25
2024,Jan,North,Apparel,1850000,1110000,185000,74000,37000,74000,12000,25000,0.25
2024,Jan,North,Food,1350000,810000,135000,54000,27000,54000,8000,18000,0.25
2024,Jan,South,Electronics,2250000,1350000,225000,90000,45000,90000,14000,30000,0.25
2024,Jan,South,Apparel,1650000,990000,165000,66000,33000,66000,11000,22000,0.25
2024,Jan,South,Food,1250000,750000,125000,50000,25000,50000,7000,16000,0.25
2024,Jan,East,Electronics,1950000,1170000,195000,78000,39000,78000,13000,28000,0.25
2024,Jan,East,Apparel,1450000,870000,145000,58000,29000,58000,9000,20000,0.25
2024,Jan,East,Food,1050000,630000,105000,42000,21000,42000,6000,14000,0.25
2024,Jan,West,Electronics,2650000,1590000,265000,106000,53000,106000,16000,35000,0.25
2024,Jan,West,Apparel,2050000,1230000,205000,82000,41000,82000,13000,27000,0.25
2024,Jan,West,Food,1550000,930000,155000,62000,31000,62000,9000,19000,0.25
2024,Feb,North,Electronics,2520000,1512000,252000,100800,50400,100800,15500,33000,0.25
2024,Feb,North,Apparel,1920000,1152000,192000,76800,38400,76800,12500,26000,0.25
2024,Feb,North,Food,1420000,852000,142000,56800,28400,56800,8500,19000,0.25
2024,Feb,South,Electronics,2320000,1392000,232000,92800,46400,92800,14500,31000,0.25
2024,Feb,South,Apparel,1720000,1032000,172000,68800,34400,68800,11500,23000,0.25
2024,Feb,South,Food,1320000,792000,132000,52800,26400,52800,7500,17000,0.25
2024,Feb,East,Electronics,2020000,1212000,202000,80800,40400,80800,13500,29000,0.25
2024,Feb,East,Apparel,1520000,912000,152000,60800,30400,60800,9500,21000,0.25
2024,Feb,East,Food,1120000,672000,112000,44800,22400,44800,6500,15000,0.25
2024,Feb,West,Electronics,2720000,1632000,272000,108800,54400,108800,16500,36000,0.25
2024,Feb,West,Apparel,2120000,1272000,212000,84800,42400,84800,13500,28000,0.25
2024,Feb,West,Food,1620000,972000,162000,64800,32400,64800,9500,20000,0.25
2024,Mar,North,Electronics,2580000,1548000,258000,103200,51600,103200,16000,34000,0.25
2024,Mar,North,Apparel,1980000,1188000,198000,79200,39600,79200,13000,27000,0.25
2024,Mar,North,Food,1480000,888000,148000,59200,29600,59200,9000,20000,0.25
2024,Mar,South,Electronics,2380000,1428000,238000,95200,47600,95200,15000,32000,0.25
2024,Mar,South,Apparel,1780000,1068000,178000,71200,35600,71200,12000,24000,0.25
2024,Mar,South,Food,1380000,828000,138000,55200,27600,55200,8000,18000,0.25
2024,Mar,East,Electronics,2080000,1248000,208000,83200,41600,83200,14000,30000,0.25
2024,Mar,East,Apparel,1580000,948000,158000,63200,31600,63200,10000,22000,0.25
2024,Mar,East,Food,1180000,708000,118000,47200,23600,47200,7000,16000,0.25
2024,Mar,West,Electronics,2780000,1668000,278000,111200,55600,111200,17000,37000,0.25
2024,Mar,West,Apparel,2180000,1308000,218000,87200,43600,87200,14000,29000,0.25
2024,Mar,West,Food,1680000,1008000,168000,67200,33600,67200,10000,21000,0.25
2024,Apr,North,Electronics,2650000,1590000,265000,106000,53000,106000,16500,35000,0.25
2024,Apr,North,Apparel,2050000,1230000,205000,82000,41000,82000,13500,28000,0.25
2024,Apr,North,Food,1550000,930000,155000,62000,31000,62000,9500,21000,0.25
2024,Apr,South,Electronics,2450000,1470000,245000,98000,49000,98000,15500,33000,0.25
2024,Apr,South,Apparel,1850000,1110000,185000,74000,37000,74000,12500,25000,0.25
2024,Apr,South,Food,1450000,870000,145000,58000,29000,58000,8500,19000,0.25
2024,Apr,East,Electronics,2150000,1290000,215000,86000,43000,86000,14500,31000,0.25
2024,Apr,East,Apparel,1650000,990000,165000,66000,33000,66000,10500,23000,0.25
2024,Apr,East,Food,1250000,750000,125000,50000,25000,50000,7500,17000,0.25
2024,Apr,West,Electronics,2850000,1710000,285000,114000,57000,114000,17500,38000,0.25
2024,Apr,West,Apparel,2250000,1350000,225000,90000,45000,90000,14500,30000,0.25
2024,Apr,West,Food,1750000,1050000,175000,70000,35000,70000,10500,22000,0.25
2024,May,North,Electronics,2720000,1632000,272000,108800,54400,108800,17000,36000,0.25
2024,May,North,Apparel,2120000,1272000,212000,84800,42400,84800,14000,29000,0.25
2024,May,North,Food,1620000,972000,162000,64800,32400,64800,10000,22000,0.25
2024,May,South,Electronics,2520000,1512000,252000,100800,50400,100800,16000,34000,0.25
2024,May,South,Apparel,1920000,1152000,192000,76800,38400,76800,13000,26000,0.25
2024,May,South,Food,1520000,912000,152000,60800,30400,60800,9000,20000,0.25
2024,May,East,Electronics,2220000,1332000,222000,88800,44400,88800,15000,32000,0.25
